NDB_NO,Description,Protein(g)Per 100 g,Total lipid (fat)(g)Per 100 g,"Carbohydrate, by difference(g)Per 100 g",Weight(g),Measure,Protein per measure,Fat per measure,Carbohydrate per measure
11144,"Celery, cooked, boiled, drained, without salt",0.83,0.16,4,150,"1.0 cup, diced",1.25,0.24,6
9164,"Litchis, raw",0.83,0.44,16.53,190,1.0 cup,1.58,0.84,31.41
4023,"Salad dressing, thousand island dressing, reduced fat",0.83,11.32,24.06,15,1.0 tablespoon,0.12,1.7,3.61
9176,"Mangos, raw",0.82,0.38,14.98,165,1.0 cup pieces,1.35,0.63,24.72
9218,"Tangerines, (mandarin oranges), raw",0.81,0.31,13.34,195,"1.0 cup, sections",1.58,0.6,26.01
9129,"Grapes, muscadine, raw",0.81,0.47,13.93,6,1.0 grape,0.05,0.03,0.84
11247,"Leeks, (bulb and lower leaf-portion), cooked, boiled, drained, without salt",0.81,0.2,7.62,124,1.0 leek,1,0.25,9.45
11294,"Onions, sweet, raw",0.8,0.08,7.55,148,1.0 NLEA serving,1.18,0.12,11.17
11531,"Tomatoes, red, ripe, canned, packed in tomato juice",0.79,0.25,3.47,240,1.0 cup,1.9,0.6,8.33
11287,"Onions, frozen, chopped, unprepared",0.79,0.1,6.82,95,0.33 package (10 oz),0.75,0.1,6.48
11130,"Carrots, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",0.78,0.46,7.9,64,0.5 cup slices,0.5,0.29,5.06
11288,"Onions, frozen, chopped, cooked, boiled, drained, without salt",0.77,0.1,6.59,15,1.0 tbsp chopped,0.12,0.01,0.99
9112,"Grapefruit, raw, pink and red, all areas",0.77,0.14,10.66,230,"1.0 cup sections, with juice",1.77,0.32,24.52
9071,"Cherries, sweet, canned, water pack, solids and liquids",0.77,0.13,11.76,248,"1.0 cup, pitted",1.91,0.32,29.16
9089,"Figs, raw",0.75,0.3,19.18,64,1.0 large (2-1/2 dia),0.48,0.19,12.28
9065,"Cherries, sour, red, canned, light syrup pack, solids and liquids",0.74,0.1,19.3,252,1.0 cup,1.86,0.25,48.64
11082,"Beets, canned, regular pack, solids and liquids",0.73,0.09,7.14,246,1.0 cup,1.8,0.22,17.56
11290,"Onions, frozen, whole, cooked, boiled, drained, without salt",0.71,0.05,6.7,210,1.0 cup,1.49,0.1,14.07
9120,"Grapefruit, sections, canned, juice pack, solids and liquids",0.7,0.09,9.21,249,1.0 cup,1.74,0.22,22.93
11122,"Cardoon, raw",0.7,0.1,4.07,178,"1.0 cup, shredded",1.25,0.18,7.24
9211,"Orange juice, chilled, includes from concentrate, with added calcium",0.68,0.12,11.27,249,1.0 cup,1.69,0.3,28.06
11429,"Radishes, raw",0.68,0.1,3.4,116,1.0 cup slices,0.79,0.12,3.94
9210,"Orange juice, chilled, includes from concentrate, with added calcium and vitamin D",0.68,0.12,11.27,249,1.0 cup,1.69,0.3,28.06
6410,"Soup, cream of celery, canned, prepared with equal volume water",0.68,2.29,3.62,248,1.0 cup,1.69,5.68,8.98
11484,"Squash, winter, acorn, cooked, boiled, mashed, without salt",0.67,0.08,8.79,245,"1.0 cup, mashed",1.64,0.2,21.54
11865,"Squash, winter, acorn, cooked, boiled, mashed, with salt",0.67,0.08,8.79,245,"1.0 cup, mashed",1.64,0.2,21.54
4018,"Salad dressing, mayonnaise type, regular, with salt",0.65,21.6,14.78,14.7,1.0 tbsp,0.1,3.18,2.17
11128,"Carrots, canned, regular pack, drained solids",0.64,0.19,5.54,146,"1.0 cup, sliced",0.93,0.28,8.09
9357,"Apricots, canned, heavy syrup, drained",0.64,0.11,21.31,219,"1.0 cup, halves",1.4,0.24,46.67
14054,"Beverages, almond milk, chocolate, ready-to-drink",0.63,1.25,9.38,240,8.0 fl oz,1.51,3,22.51
9131,"Grapes, american type (slip skin), raw",0.63,0.35,17.15,92,1.0 cup,0.58,0.32,15.78
9118,"Grapefruit, raw, white, Florida",0.63,0.1,8.19,230,"1.0 cup sections, with juice",1.45,0.23,18.84
11218,"Gourd, white-flowered (calabash), raw",0.62,0.02,3.39,58,0.5 cup (1 pieces),0.36,0.01,1.97
14015,"Alcoholic beverage, pina colada, canned",0.6,7.6,27.6,32.6,1.0 fl oz,0.2,2.48,9
11758,"Carrots, canned, no salt added, solids and liquids",0.59,0.14,5.36,123,0.5 cup slices,0.73,0.17,6.59
9263,"Persimmons, japanese, raw",0.58,0.19,18.59,168,1.0 fruit (2-1/2 dia),0.97,0.32,31.23
9124,"Grapefruit juice, white, canned, sweetened",0.58,0.09,11.13,250,1.0 cup,1.45,0.23,27.82
9119,"Grapefruit, sections, canned, water pack, solids and liquids",0.58,0.1,9.15,244,1.0 cup,1.42,0.24,22.33
9353,"Blueberries, wild, canned, heavy syrup, drained",0.56,0.34,28.32,319,1.0 cup,1.79,1.08,90.34
9027,"Apricots, canned, heavy syrup pack, with skin, solids and liquids",0.53,0.08,21.47,258,"1.0 cup, halves",1.37,0.21,55.39
4022,"Salad dressing, russian dressing, low calorie",0.5,4,27.6,16,1.0 tablespoon,0.08,0.64,4.42
9061,"Carissa, (natal-plum), raw",0.5,1.3,13.63,150,1.0 cup slices,0.75,1.95,20.45
9133,"Grapes, canned, thompson seedless, water pack, solids and liquids",0.5,0.11,10.3,245,1.0 cup,1.23,0.27,25.23
9242,"Peaches, canned, extra heavy syrup pack, solids and liquids",0.47,0.03,26.06,262,"1.0 cup, halves or slices",1.23,0.08,68.28
9226,"Papayas, raw",0.47,0.26,10.82,145,1.0 cup 1 pieces,0.68,0.38,15.69
9240,"Peaches, canned, light syrup pack, solids and liquids",0.45,0.03,14.55,251,"1.0 cup, halves or slices",1.13,0.08,36.52
9237,"Peaches, canned, water pack, solids and liquids",0.44,0.06,6.11,244,"1.0 cup, halves or slices",1.07,0.15,14.91
9160,"Lime juice, raw",0.42,0.07,8.42,242,1.0 cup,1.02,0.17,20.38
14016,"Beverages, almond milk, sweetened, vanilla flavor, ready-to-drink",0.42,1.04,6.59,240,8.0 fl oz,1.01,2.5,15.82
14620,"Beverages, V8 V-FUSION Juices, Peach Mango",0.41,0,11.38,246,1.0 serving 8 oz,1.01,0,27.99
19156,"Candies, MARS SNACKFOOD US, STARBURST Fruit Chews, Original fruits",0.41,8.21,82.57,40,1.0 serving fun size (8 chews),0.16,3.28,33.03
9055,"Blueberries, frozen, sweetened",0.4,0.13,21.95,230,"1.0 cup, thawed",0.92,0.3,50.48
9098,"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, extra light syrup, solids and liquids",0.4,0.07,11.63,123,0.5 cup,0.49,0.09,14.3
14426,"Beverages, Orange drink, breakfast type, with juice and pulp, frozen concentrate",0.4,0,39,36.3,1.0 fl oz,0.15,0,14.16
9090,"Figs, canned, water pack, solids and liquids",0.4,0.1,13.99,248,1.0 cup,0.99,0.25,34.7
9100,"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, heavy syrup, solids and liquids",0.39,0.07,18.91,248,1.0 cup,0.97,0.17,46.9
9252,"Pears, raw",0.36,0.14,15.23,140,"1.0 cup, slices",0.5,0.2,21.32
9102,"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, water pack, solids and liquids",0.35,0.07,7.87,245,1.0 cup,0.86,0.17,19.28
9152,"Lemon juice, raw",0.35,0.24,6.9,244,1.0 cup,0.85,0.59,16.84
4585,"Margarine-like, margarine-butter blend, soybean oil and butter",0.31,80.32,0.77,14.1,1.0 tbsp,0.04,11.33,0.11
4027,"Salad dressing, mayonnaise, imitation, soybean",0.3,19.2,16,15,1.0 tbsp,0.04,2.88,2.4
9043,"Blackberry juice, canned",0.3,0.6,7.8,250,1.0 cup,0.75,1.5,19.5
19710,"Puddings, vanilla, dry mix, regular, with added oil",0.3,1.1,92.4,88,1.0 package (3.12 oz),0.26,0.97,81.31
14019,"Alcoholic beverage, tequila sunrise, canned",0.3,0.1,11.3,31.1,1.0 fl oz,0.09,0.03,3.51
11563,"Tree fern, cooked, without salt",0.29,0.07,10.98,71,"0.5 cup, chopped",0.21,0.05,7.8
9014,"Apples, frozen, unsweetened, unheated (Includes foods for USDA's Food Distribution Program)",0.28,0.32,12.31,173,1.0 cup slices,0.48,0.55,21.3
9004,"Apples, raw, without skin",0.27,0.13,12.76,110,1.0 cup slices,0.3,0.14,14.04
14630,"Beverages, Energy drink, ROCKSTAR, sugar free",0.25,0.08,0.7,240,8.0 fl oz,0.6,0.19,1.68
14007,"Alcoholic beverage, beer, light, BUD LIGHT",0.25,0,1.3,29.5,1.0 fl oz,0.07,0,0.38
4013,"Salad dressing, KRAFT Mayo Fat Free Mayonnaise Dressing",0.2,0,15.8,16,1.0 tbsp,0.03,0,2.53
14240,"Beverages, cranberry-apricot juice drink, bottled",0.2,0,16.2,30.6,1.0 fl oz,0.06,0,4.96
14241,"Beverages, cranberry-grape juice drink, bottled",0.2,0.1,14,30.6,1.0 fl oz,0.06,0.03,4.28
9256,"Pears, canned, light syrup pack, solids and liquids",0.19,0.03,15.17,251,"1.0 cup, halves",0.48,0.08,38.08
9020,"Applesauce, canned, sweetened, without salt",0.16,0.17,17.49,246,1.0 cup,0.39,0.42,43.03
9442,"Pomegranate juice, bottled",0.15,0.29,13.13,249,1.0 cup,0.37,0.72,32.69
9228,"Papaya, canned, heavy syrup, drained",0.14,0.55,55.83,39,1.0 piece,0.05,0.21,21.77
14416,"Beverages, carbonated, low calorie, cola or pepper-type, with aspartame, contains caffeine",0.11,0.03,0.29,29.6,1.0 fl oz,0.03,0.01,0.09
14237,"Beverages, coffee substitute, cereal grain beverage, prepared with water",0.1,0.04,1.3,30.1,1.0 fl oz,0.03,0.01,0.39
14151,"Beverages, carbonated, low calorie, other than cola or pepper, with aspartame, contains caffeine",0.1,0,--,29.6,1.0 fl oz,0.03,0,--
14534,"Alcoholic beverage, liqueur, coffee, 63 proof",0.1,0.3,32.2,34.8,1.0 fl oz,0.03,0.1,11.21
19708,"Puddings, lemon, dry mix, regular, with added oil, potassium, sodium",0.1,1.5,90.3,85,1.0 package (3 oz),0.09,1.27,76.75
19014,"Snacks, fruit leather, rolls",0.1,3,85.8,21,1.0 large,0.02,0.63,18.02
14028,"Beverages, Whiskey sour mix, bottled",0.1,--,21.4,32.3,1.0 fl oz,0.03,--,6.91
4133,"Salad dressing, french, home recipe",0.1,70.2,3.4,14,1.0 tablespoon,0.01,9.83,0.48
19709,"Puddings, tapioca, dry mix, with no added salt",0.1,--,94.3,92,1.0 package (3.5 oz),0.09,--,86.76
